group,subgroup,codepoints,status,emoji,name
People & Body,person-sport,1F938 1F3FE 200D 2640,minimally-qualified,🤸🏾‍♀,E4.0 woman cartwheeling: medium-dark skin tone
People & Body,person-sport,1F938 1F3FF 200D 2640 FE0F,fully-qualified,🤸🏿‍♀️,E4.0 woman cartwheeling: dark skin tone
People & Body,person-sport,1F938 1F3FF 200D 2640,minimally-qualified,🤸🏿‍♀,E4.0 woman cartwheeling: dark skin tone
People & Body,person-sport,1F93C,fully-qualified,🤼,E3.0 people wrestling
People & Body,person-sport,1F93C 200D 2642 FE0F,fully-qualified,🤼‍♂️,E4.0 men wrestling
People & Body,person-sport,1F93C 200D 2642,minimally-qualified,🤼‍♂,E4.0 men wrestling
People & Body,person-sport,1F93C 200D 2640 FE0F,fully-qualified,🤼‍♀️,E4.0 women wrestling
People & Body,person-sport,1F93C 200D 2640,minimally-qualified,🤼‍♀,E4.0 women wrestling
People & Body,person-sport,1F93D,fully-qualified,🤽,E3.0 person playing water polo
People & Body,person-sport,1F93D 1F3FB,fully-qualified,🤽🏻,E3.0 person playing water polo: light skin tone
People & Body,person-sport,1F93D 1F3FC,fully-qualified,🤽🏼,E3.0 person playing water polo: medium-light skin tone
People & Body,person-sport,1F93D 1F3FD,fully-qualified,🤽🏽,E3.0 person playing water polo: medium skin tone
People & Body,person-sport,1F93D 1F3FE,fully-qualified,🤽🏾,E3.0 person playing water polo: medium-dark skin tone
People & Body,person-sport,1F93D 1F3FF,fully-qualified,🤽🏿,E3.0 person playing water polo: dark skin tone
People & Body,person-sport,1F93D 200D 2642 FE0F,fully-qualified,🤽‍♂️,E4.0 man playing water polo
People & Body,person-sport,1F93D 200D 2642,minimally-qualified,🤽‍♂,E4.0 man playing water polo
People & Body,person-sport,1F93D 1F3FB 200D 2642 FE0F,fully-qualified,🤽🏻‍♂️,E4.0 man playing water polo: light skin tone
People & Body,person-sport,1F93D 1F3FB 200D 2642,minimally-qualified,🤽🏻‍♂,E4.0 man playing water polo: light skin tone
People & Body,person-sport,1F93D 1F3FC 200D 2642 FE0F,fully-qualified,🤽🏼‍♂️,E4.0 man playing water polo: medium-light skin tone
People & Body,person-sport,1F93D 1F3FC 200D 2642,minimally-qualified,🤽🏼‍♂,E4.0 man playing water polo: medium-light skin tone
People & Body,person-sport,1F93D 1F3FD 200D 2642 FE0F,fully-qualified,🤽🏽‍♂️,E4.0 man playing water polo: medium skin tone
People & Body,person-sport,1F93D 1F3FD 200D 2642,minimally-qualified,🤽🏽‍♂,E4.0 man playing water polo: medium skin tone
People & Body,person-sport,1F93D 1F3FE 200D 2642 FE0F,fully-qualified,🤽🏾‍♂️,E4.0 man playing water polo: medium-dark skin tone
People & Body,person-sport,1F93D 1F3FE 200D 2642,minimally-qualified,🤽🏾‍♂,E4.0 man playing water polo: medium-dark skin tone
People & Body,person-sport,1F93D 1F3FF 200D 2642 FE0F,fully-qualified,🤽🏿‍♂️,E4.0 man playing water polo: dark skin tone
People & Body,person-sport,1F93D 1F3FF 200D 2642,minimally-qualified,🤽🏿‍♂,E4.0 man playing water polo: dark skin tone
People & Body,person-sport,1F93D 200D 2640 FE0F,fully-qualified,🤽‍♀️,E4.0 woman playing water polo
People & Body,person-sport,1F93D 200D 2640,minimally-qualified,🤽‍♀,E4.0 woman playing water polo
People & Body,person-sport,1F93D 1F3FB 200D 2640 FE0F,fully-qualified,🤽🏻‍♀️,E4.0 woman playing water polo: light skin tone
People & Body,person-sport,1F93D 1F3FB 200D 2640,minimally-qualified,🤽🏻‍♀,E4.0 woman playing water polo: light skin tone
People & Body,person-sport,1F93D 1F3FC 200D 2640 FE0F,fully-qualified,🤽🏼‍♀️,E4.0 woman playing water polo: medium-light skin tone
People & Body,person-sport,1F93D 1F3FC 200D 2640,minimally-qualified,🤽🏼‍♀,E4.0 woman playing water polo: medium-light skin tone
People & Body,person-sport,1F93D 1F3FD 200D 2640 FE0F,fully-qualified,🤽🏽‍♀️,E4.0 woman playing water polo: medium skin tone
People & Body,person-sport,1F93D 1F3FD 200D 2640,minimally-qualified,🤽🏽‍♀,E4.0 woman playing water polo: medium skin tone
People & Body,person-sport,1F93D 1F3FE 200D 2640 FE0F,fully-qualified,🤽🏾‍♀️,E4.0 woman playing water polo: medium-dark skin tone
People & Body,person-sport,1F93D 1F3FE 200D 2640,minimally-qualified,🤽🏾‍♀,E4.0 woman playing water polo: medium-dark skin tone
People & Body,person-sport,1F93D 1F3FF 200D 2640 FE0F,fully-qualified,🤽🏿‍♀️,E4.0 woman playing water polo: dark skin tone
People & Body,person-sport,1F93D 1F3FF 200D 2640,minimally-qualified,🤽🏿‍♀,E4.0 woman playing water polo: dark skin tone
People & Body,person-sport,1F93E,fully-qualified,🤾,E3.0 person playing handball
People & Body,person-sport,1F93E 1F3FB,fully-qualified,🤾🏻,E3.0 person playing handball: light skin tone
People & Body,person-sport,1F93E 1F3FC,fully-qualified,🤾🏼,E3.0 person playing handball: medium-light skin tone
